dice,iou,sensitivity,tp,fp,fn,case,slice,score,prompt,gt_voxels,pred_voxels
0.09768095572733661,0.05134835611377909,0.05134835611377909,139,0,2568,BraTS2021_00002,93,8.193111716536805e-05,brain tumor,2707,139
0.0673352435530086,0.034840622683469234,0.034840622683469234,94,0,2604,BraTS2021_00002,94,0.0002361726074013859,brain tumor,2698,94
0.31456548347613217,0.18663761801016704,0.18663761801016704,514,0,2240,BraTS2021_00002,95,0.003260166384279728,brain tumor,2754,514
0.3871538008249853,0.24004384362440628,0.24039517014270034,657,4,2076,BraTS2021_00002,96,0.0017152315704151988,brain tumor,2733,661
0.0418168709444845,0.021354933726067747,0.021354933726067747,58,0,2658,BraTS2021_00002,97,0.00021220506459940225,brain tumor,2716,58
0.5173937051352844,0.348975791433892,0.3531850735016962,937,32,1716,BraTS2021_00002,98,7.979181100381538e-05,brain tumor,2653,969
0.3233651002300362,0.1928655429243434,0.1928655429243434,492,0,2059,BraTS2021_00002,99,0.00011042949336115271,brain tumor,2551,492
0.20659659296846683,0.11519805982215037,0.11519805982215037,285,0,2189,BraTS2021_00002,100,2.529567245801445e-05,brain tumor,2474,285
0.13360160965794768,0.07158257869771453,0.07158257869771453,166,0,2153,BraTS2021_00002,101,6.56061529298313e-05,brain tumor,2319,166
0.2983077528532074,0.17530064754856614,0.17530064754856614,379,0,1783,BraTS2021_00002,102,9.159994078800082e-06,brain tumor,2162,379
0.3006489465730287,0.17691985771081817,0.8358872960949085,1691,7535,332,BraTS2021_00002,103,2.261383087898139e-06,brain tumor,2023,9226
0.11055276381909548,0.05851063829787234,0.05851063829787234,110,0,1770,BraTS2021_00002,104,5.5231095757335424e-05,brain tumor,1880,110
0.06206896551724138,0.03202846975088968,0.03202846975088968,54,0,1632,BraTS2021_00002,105,6.551604019477963e-05,brain tumor,1686,54
0.1502403846153846,0.08122157244964262,0.0812743823146944,125,1,1413,BraTS2021_00002,106,5.7135264796670526e-05,brain tumor,1538,126
0.5263718700053277,0.3571945046999277,0.3571945046999277,494,0,889,BraTS2021_00002,107,2.0830450011999346e-05,brain tumor,1383,494
0.2285936436971523,0.12904641720618895,0.9311163895486936,1176,7850,87,BraTS2021_00002,108,7.343343440879835e-06,brain tumor,1263,9026
0.21891216605804345,0.1229092478687817,0.9895742832319722,1139,8116,12,BraTS2021_00002,109,4.216289653413696e-06,brain tumor,1151,9255
0.20845009700366457,0.11635182288533269,0.9471106758080313,967,7290,54,BraTS2021_00002,110,1.000601150735747e-05,brain tumor,1021,8257
0.0,0.0,0.0,0,174,900,BraTS2021_00002,111,1.3086680155538488e-05,brain tumor,900,174
0.325782092772384,0.19458762886597938,0.19458762886597938,151,0,625,BraTS2021_00002,112,3.404826202313416e-05,brain tumor,776,151
0.1061653842407714,0.056058424192552976,0.956140350877193,545,9152,25,BraTS2021_00002,113,2.8696395020233467e-06,brain tumor,570,9697
0.0856971634039153,0.04476677449650423,0.9862068965517241,429,9148,6,BraTS2021_00002,114,2.8480847049650038e-06,brain tumor,435,9577
0.07049902653960446,0.03653744025491237,1.0,344,9071,0,BraTS2021_00002,115,3.9118681343097705e-06,brain tumor,344,9415
0.053610503282275714,0.027543563799887576,0.9959349593495935,245,8649,1,BraTS2021_00002,116,4.650145911000436e-06,brain tumor,246,8894
0.03326964145217489,0.016916218996456737,1.0,148,8601,0,BraTS2021_00002,117,1.2495271221268922e-05,brain tumor,148,8749
0.008012994044396319,0.004022613611654707,1.0,37,9161,0,BraTS2021_00002,118,8.208508370444179e-05,brain tumor,37,9198
0.0,0.0,0.0,0,171,30,BraTS2021_00003,77,7.000342156970873e-05,brain tumor,30,171
0.7603305785123967,0.6133333333333333,0.8518518518518519,92,42,16,BraTS2021_00003,78,4.058428021380678e-05,brain tumor,108,134
0.0,0.0,0.0,0,361,226,BraTS2021_00003,79,2.3078197045833804e-05,brain tumor,226,361
